name,address,contact,label,total,vacant
AIIMS Main Delhi,"Sri Aurobindo Marg, Ansari Nagar East, Delhi 110029",01126588500,Central Govt,11,11
"AIIMS, Trauma Delhi",Delhi,01126731109,Central Govt,265,190
"Akash Healthcare, Dwarka","Hospital Plot, Rd Number 201, Dwarka Sector-3, New Delhi, Delhi 110075",8800015991,Pvt,30,13
Ambedkar Nagar hospital,,8744071637,Delhi Govt,200,164
"Ansari Hospital, Sagarpur","20F/B 1272 Gali No-6 Main Sagar Pur, New Delhi 110046",01128525149,Pvt,10,10
"Apex City Hospital, West Vinod Nagar","D-440, Hanuman Road, D-Block, West Vinod Nagar, IP Extension, New Delhi, Delhi 110091",01122472111,Pvt,14,14
Ardent Ganpati,"NH 10, Swaran Park, Mundka, Delhi 110041",9654531319,Pvt,10,9
"Ayushman Hospital, Dwarka","Pocket 1, Sector 10 Dwarka, Elephenta Line, Delhi 110075",01147031100,Pvt,12,5
"B.M. Gupta Hospital, Uttam Nagar","H-9, 15, Arya Samaj Rd, SDM Market, Block O, Uttam Nagar, New Delhi, Delhi 110059",01147157777,Pvt,20,12
"Bansal Global Hospital, Jahangirpuri","C-10, near Jahangirpuri Metro Station, Ramgarh, Ramgarh Village, Jahangirpuri, Delhi 110033",01127636400,Pvt,10,8
"Bansal Hospital & Research Centre, New Friends Colony","Friends Colony, New Friends Colony, New Delhi, Delhi 110025",01146583333,Pvt,30,30
Base Hospital Delhi Cantt,Delhi,01125683581,Central Govt,550,420
Batra Hospital,"1, Mehrauli - Badarpur Rd, Tughlakabad Institutional Area, Vayusenabad, New Delhi, Delhi 110062",01129958747,Pvt,90,56
"Bensups Hospital, Dwarka","Dwarka Sub-City, Sector 12 Dwarka, BENSUPS Avenue, New Delhi, Delhi 110075",01145550000,Pvt,30,30
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka","RZ-F-1/1 Mahavir Enclave Palam Dabri Marg Under Dwarka, Airport Flyover, Mahavir Enclave Part 2, Palam, New Delhi, Delhi 110045",01145254550,Pvt,6,6
"Bhagwati Hospital, Rohini","CS/OCF, 6, Jain Mandir Marg, near Printer Apartment, Sector 13, Rohini, New Delhi, Delhi 110085",01143126000,Pvt,10,4
"Bhatia Global Hospital, Paschim Vihar","307-308 Opposite Central School, Ambica Vihar, Paschim Vihar, New Delhi, Delhi 110087",01149775977,Pvt,30,29
"BLK Hospital, Pusa Road","BLK Super Specialty Hospital, Radha Soami Satsang, Rajendra Place, New Delhi, Delhi 110005",9871748578,Pvt,70,28
"Brahm Shakti Hospital, Budh Vihar","No.U, 1/78, Kanjhawala Rd, Pocket C, Budh Vihar Phase I, Budh Vihar, New Delhi, Delhi 110086",1800119120,Pvt,20,17
Burari Hospital,Delhi,01127611215,Delhi Govt,320,277
"CD Global Hospital, Najafgarh Road","Rohtak Rd, Swaran Park, Mundka, Delhi 110041",01128344008,Pvt,15,15
"Cygnus MLS, Rama Vihar","38, Halar Rd, Pocket 16, Sector 8, Rohini, Delhi 110085",9716873726,Pvt,10,9
"Cygnus Sonia Hospital, Nangloi","1, Rohtak Rd, Gulshan Park, Nangloi, Delhi 110041",8750060177,Pvt,17,16
"Delhi Heart & Lung Institute, Pachkuian Road","3, Panchkuian Marg, Type 4, Block B, Aram Bagh, Rolex, New Delhi, Delhi 110055",01142999999,Pvt,17,4
"Dharamshila Narayana Hosp., Vasundhra Enclave","Metro Station, Dharamshila marg, Vasundhara Enclave Near Ashok Nagar, Dallupura, New Delhi, Delhi 110096",7290074728,Pvt,30,14
"Dharamvir Solanki Hospital, Rohini","100 Feet Rd, opp. Sector 22, Lakhi Ram Park, Sector 22, Rohini, Delhi 110086",9311483147,Pvt,10,8
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45","RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",8751002222,Pvt,35,28
Dr Baba Saheb Ambedkar Hospital,Delhi,7290095590,Delhi Govt,50,33
"Dr. Chaudhary Moral Hospital, Yamuna Vihar","C - 1, Block C, Yamuna Vihar, Shalimar Garden, Delhi 110053",9810110566,Pvt,2,2
"Fortis Escorts Heart Institute, Okhla","Okhla road, Sukhdev Vihar Metro Station, New Delhi, Delhi 110025",01147135000,Pvt,46,29
"Fortis Hospital, Shalimar Bagh","AA-299, Shaheed Udham Singh Marg, AA Block, Poorbi Shalimar Bag, Shalimar Bagh, Delhi 110088",01145302222,Pvt,40,9
"Fortis SS Hospital, Vasant Kunj","Fortis Flt. Lt. Rajan Dhall Hospital, Aruna Asaf Ali Marg, Pocket 1, Sector B, Vasant Kunj, New Delhi, Delhi 110070",01142776222,Pvt,24,6
"Gandhi Nursing Home, Uttam Nagar","C-50-51, Najafgarh Rd, Block E, Om Vihar, Uttam Nagar, Delhi 110059",01125335099,Pvt,12,9
"Garg Hospital, Karkardooma","No. 8& 9, AGCR Enclave, Opposite Karkardooma Court, New Delhi, Delhi 110092",9354000180,Pvt,10,9
"Goyal Hospital & Urology Centre, Krishna Nagar","E-4/8, Krishna Nagar, near Lajpat Rai, Chandni Chowk, New Delhi, Delhi 110051",7011221183,Pvt,26,22
"Goyal Hospital, Paschim Vihar","B 33, Block B, LIC Colony, Paschim Vihar, Delhi 110087",8709637942,Pvt,10,10
"HAHC Hospital, Hamdard Nagar","Guru Ravidas Marg, Block D, Hamdard Nagar, New Delhi, Delhi 110062",01129901111,Pvt,40,37
"Holy Family Hospital, Okhla","Okhla Rd, Okhla, New Delhi, Delhi 110025",01126845900,Pvt,57,13
"IBS Hospital, Lajpat Nagar","Block L, Lajpat Nagar III, Lajpat Nagar 4, New Delhi, Delhi 110024",01143210000,Pvt,8,8
"Indian spinal injury centre,Vasant Kunj","Vasant Kunj Marg, Opp Vasant Valley School, IAA Colony, Sector C, Vasant Kunj, New Delhi, Delhi 110070",01142255225,Pvt,42,25
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR","Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi, Delhi 110076",01126925858,Pvt,108,58
"Irene Hospital, Kalkaji","Block DD, DD-23, Kalkaji, New Delhi, Delhi 110019",9540948480,Pvt,40,40
"Ishan Hospital, Rohini","Plot No.1, Pocket-8B, Dr MC Davar Marg, Sector 19, Rohini, Delhi 110089",9811417399,Pvt,10,10
"Jain Hospital, Vikas Marg Extn.","177-178, Jagriti Enclave, Vikas Marg Ext, New Delhi, Delhi 110092",9015111222,Pvt,7,7
"Jaipur Golden Hospital, Rohini","2, Naharpur Village Rd, Institutional Area, Sector 3, Rohini, Delhi 110085",01127907000,Pvt,60,17
"Jeevan Anmol Hospital, Mayur Vihar Phase-I","JEEVAN ANMOL HOSPITAL, Mayur Vihar, Delhi 110091",01122750380,Pvt,15,15
"Jeewan Mala Hospital, Rohtak Road","67/1 New Rohtak Road, Guru Gobind Singh Marg, Karol Bagh, New Delhi, Delhi 110005",01147774151,Pvt,24,22
"Jeewan Moti Khera Hospital, Nangloi","Krishna Mandir, New Khera Hospital, Nangloi - Najafgarh Rd, Nangloi, New Delhi 110041",01125945771,Pvt,10,9
"Jeewan Nursing Home, Pusa Road","2-B, Pusa Road, Next to Karol Bagh Metro Station, Opp. Pillar No.-107, 108, Sadhu Vasvani Marg, Rajender Nagar, New Delhi, Delhi 110005",01142430246,Pvt,9,9
"Kalra Hospital, Kirti Nagar","Tulsi Dass Kalra Marg, Kirti Nagar, New Delhi, Delhi 110015",01145005600,Pvt,18,1
"Kapil Multispecialty Hospital, Nathupura","A-1 shastri park mor, Nathupura, Burari, New Delhi, Delhi 110084",9990781810,Pvt,7,7
Khandelwal Hospital And Urology Center,"B-16, Main Road, East Krishna Nagar, East Krishna Nagar, New Delhi, Delhi 110051",9212745664,Pvt,11,11
"Konark Hospital, Nangloi","9A/1, Naresh Park Main Najafgarh Road, Nangloi, Delhi 110041",01125941497,Pvt,25,25
"Kukreja Hospital and Heart Centre, Rajouri Garden","C-1, Block A, Vishal Enclave, Rajouri Garden, New Delhi, Delhi 110027",01145675000,Pvt,30,27
"Kukreja Hospital, Mayur Vihar","D 36, Block C, Acharya Niketan, Mayur Vihar, New Delhi, Delhi 110091",9711499163,Pvt,10,9
"Lalita Hospital, Begumpur","Parnami Market Rd, Rajiv Nagar Extension, Sector 38, Begum Pur, Delhi 110081",8595075850,Pvt,10,10
LHMC,"Near, Panchkuian Marg, Shivaji Stadium, New Delhi 110055",01123498269,Central Govt,133,92
Lok Nayak Hospital,"Jawahar Lal Nehru Marg, Delhi 110002",9873617028,Delhi Govt,300,240
"Madhukar Rainbow Children Hosp., Malviya Nagar","Geetanjali FC-29 5 Near Malviya Nagar Metro Station, New Delhi, Delhi 110017",9100065913,Pvt,31,31
Maha Durga Charitable Trust Hospital,"Rishabh Park, Phase 3, Model Town, Delhi 110009",01135213270,Pvt,22,7
"Maharaja Agarsain Multispecialty Hospital, Narela","Bawana Road, Swatantra Nagar, Narela, New Delhi, Delhi 110040",9891654929,Pvt,30,22
"Maharaja Agrasen Hospital, Dwarka","Sector-1, Dwaraka, New Delhi 110075",01141347700,Pvt,4,3
"Maharaja Agrasen Hospital, Punjabi Bagh","Near Metro Station Jain Muni Guru Ramkrishan Marg Block C, Shivaji Park, West Punjabi Bagh, Delhi 110026",01140777747,Pvt,45,1
Malik Radix Hospital,"C/216 Metro Station, C/218, Vikas Marg, Nirman Vihar, New Delhi, Delhi 110092",01122011192,Pvt,8,0
"MANIPAL HOSPITAL, DWARKA","Sector 6 adjoining MTNL building, Main Rd, Dwarka, New Delhi, Delhi 110075",8947091532,Pvt,102,44
"Mansaram Hospital, Nangloi","Main Najafgarh Rd, Ram Nagar Colony, Ram Nagar, Nangloi, New Delhi, Delhi 110041",8285853737,Pvt,10,10
"Mata Chanan Devi Hospital, Janakpuri","c1, Lal Sai Mandir Marg, Block C1, Janakpuri, New Delhi, Delhi 110058",9811560885,Pvt,46,22
"Mata Roop Rani Maggo Hospital, Uttam Nagar","C-9, Metro Pillar No. 709, Om Vihar, Uttam Nagar, Delhi 110059",01161290000,Pvt,12,12
Max East/West Block,"1, 2, Press Enclave Marg, Saket Institutional Area, Saket, New Delhi, Delhi 110017",01126515050,Pvt,32,31
"Max Smart Gujarmal Modi hospital ,Saket","Press Enclave Marg, Saket District Centre, Saket, New Delhi, Delhi 110017",01171212121,Pvt,104,37
"MAX SS HOSPITAL, PATPARGANJ","108A, I.P.Extension, Patparganj, Delhi 110092",8800333777,Pvt,121,76
"Max SS Hospital, Shalimar Bagh","FC 50, C and D Block, Shalimar Place Site, Shalimar Bagh, New Delhi, Delhi 110088",9560638592,Pvt,64,0
"Medeor Hospital, Qutab Instl. Area","B-33, 34, Qutab Institutional Area., New Delhi, Delhi 110016",01141222222,Pvt,56,54
"Medstar Hospital, Paschim Vihar","Outer Ring Rd, Block A, Meera Bagh, Paschim Vihar, New Delhi, Delhi 110087",9717006697,Pvt,20,19
"Metro Hospital, Lajpat Nagar","14, Ring Road Near Amar Kaloni Market, Lajpat Nagar IV, New Delhi, Delhi 110024",9818716111,Pvt,11,11
"Metro Hospital, Preet Vihar","Community Center, 21, Acharya Nagraj Marg, C Block, Preet Vihar, New Delhi, Delhi 110092",01149286666,Pvt,21,0
"MGS Hospital, Punjabi Bagh","Rohtak Road, Punjabi Bagh West, Punjabi Bagh West, New Delhi, Delhi 110026",01145111444,Pvt,15,0
"Mool Chand Khairati Ram Hospital, Lajpat Nagar","Lala Lajpat Rai Marg, Near Moolchand Metro Station, Block M, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024",01142000384,Pvt,27,1
"National Heart Institute, East of Kailash","Raja Dhirsain Marg, D Block, East of Kailash, New Delhi, Delhi 110048",01146600700,Pvt,23,4
"Navjeevan Hospital, Pitampura","655, Onkar Nagar B, Onkar Nagar, Tri Nagar, New Delhi, Delhi 110035",01141687046,Pvt,16,8
"NKS Hospital, Gulabi Bagh","219, 220, Sanjay Nagar, Gulabi Bagh, Delhi 110007",01123666666,Pvt,20,12
Northern Railway,Delhi,01123747984,Central Govt,100,90
"Park Hospital, Meera Bagh","Bus Depot, Meera Enclave Outer Ring Road Near Kashopur, New Chaukhandi, Vishnu Garden, New Delhi, Delhi 110018",01145323232,Pvt,18,17
"PGH Hospital, Vikas Nagar","Plot No. 89A, Vikasnagar Ext, Phase-2 Block-B, Sukkhar, Shani Bazar Rd, Uttam Nagar, New Delhi, Delhi 110059",9599198053,Pvt,15,15
"Primus Super Specialty Hospital, Chanakyapuri","2, Chandragupta Marg, Chanakyapuri, New Delhi, Delhi 110021",01166206630,Pvt,30,19
"Pushpawati Singhania Hospital, Saket",Delhi,9717159780,Pvt,30,3
Rajeev Gandhi Super Speciality Hospital,"Taharpur Rd, Taharpur, Taharpur Village, Dilshad Garden, New Delhi, Delhi 110093",8595524745,Delhi Govt,500,464
"Rajiv Gandhi Cancer Institute & RC, Rohini*","Sir Chotu Ram Marg, Rohini Institutional Area, Sector 5, Rohini, New Delhi, Delhi 110085",01147022524,Pvt,18,12
Ram Manohar Lohia Hospital,"Baba Kharak Singh Rd, near Gurudwara Bangla Sahib, New Delhi 110001",01123365525,Central Govt,172,133
"Rathi Hospital, Najafgarh","3, Nangloi - Najafgarh Rd, Pratap Vihar, Ranhola, Delhi 110041",9871173355,Pvt,27,22
