name,address,contact,label,total,vacant
"AIIMS, Trauma Delhi",Delhi,01126731109,Central Govt,71,29
"Akash Healthcare, Dwarka","Hospital Plot, Rd Number 201, Dwarka Sector-3, New Delhi, Delhi 110075",8800015991,Pvt,4,3
"Ansari Hospital, Sagarpur","20F/B 1272 Gali No-6 Main Sagar Pur, New Delhi 110046",01128525149,Pvt,1,1
"Ayushman Hospital, Dwarka","Pocket 1, Sector 10 Dwarka, Elephenta Line, Delhi 110075",01147031100,Pvt,1,0
"Bansal Global Hospital, Jahangirpuri","C-10, near Jahangirpuri Metro Station, Ramgarh, Ramgarh Village, Jahangirpuri, Delhi 110033",01127636400,Pvt,1,1
Base Hospital Delhi Cantt,Delhi,01125683581,Central Govt,10,5
Batra Hospital,"1, Mehrauli - Badarpur Rd, Tughlakabad Institutional Area, Vayusenabad, New Delhi, Delhi 110062",01129958747,Pvt,10,7
"Bensups Hospital, Dwarka","Dwarka Sub-City, Sector 12 Dwarka, BENSUPS Avenue, New Delhi, Delhi 110075",01145550000,Pvt,3,3
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka","RZ-F-1/1 Mahavir Enclave Palam Dabri Marg Under Dwarka, Airport Flyover, Mahavir Enclave Part 2, Palam, New Delhi, Delhi 110045",01145254550,Pvt,1,1
"Bhagwati Hospital, Rohini","CS/OCF, 6, Jain Mandir Marg, near Printer Apartment, Sector 13, Rohini, New Delhi, Delhi 110085",01143126000,Pvt,2,2
"BLK Hospital, Pusa Road","BLK Super Specialty Hospital, Radha Soami Satsang, Rajendra Place, New Delhi, Delhi 110005",9871748578,Pvt,7,6
"Brahm Shakti Hospital, Budh Vihar","No.U, 1/78, Kanjhawala Rd, Pocket C, Budh Vihar Phase I, Budh Vihar, New Delhi, Delhi 110086",1800119120,Pvt,1,1
Burari Hospital,Delhi,01127611215,Delhi Govt,10,10
"CD Global Hospital, Najafgarh Road","Rohtak Rd, Swaran Park, Mundka, Delhi 110041",01128344008,Pvt,1,1
"Cygnus Sonia Hospital, Nangloi","1, Rohtak Rd, Gulshan Park, Nangloi, Delhi 110041",8750060177,Pvt,5,5
"Delhi Heart & Lung Institute, Pachkuian Road","3, Panchkuian Marg, Type 4, Block B, Aram Bagh, Rolex, New Delhi, Delhi 110055",01142999999,Pvt,1,1
"Dharamshila Narayana Hosp., Vasundhra Enclave","Metro Station, Dharamshila marg, Vasundhara Enclave Near Ashok Nagar, Dallupura, New Delhi, Delhi 110096",7290074728,Pvt,3,3
"Dharamvir Solanki Hospital, Rohini","100 Feet Rd, opp. Sector 22, Lakhi Ram Park, Sector 22, Rohini, Delhi 110086",9311483147,Pvt,2,2
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45","RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",8751002222,Pvt,2,2
Dr Baba Saheb Ambedkar Hospital,Delhi,7290095590,Delhi Govt,16,8
"Fortis Escorts Heart Institute, Okhla","Okhla road, Sukhdev Vihar Metro Station, New Delhi, Delhi 110025",01147135000,Pvt,5,2
"Fortis Hospital, Shalimar Bagh","AA-299, Shaheed Udham Singh Marg, AA Block, Poorbi Shalimar Bag, Shalimar Bagh, Delhi 110088",01145302222,Pvt,5,0
"Fortis SS Hospital, Vasant Kunj","Fortis Flt. Lt. Rajan Dhall Hospital, Aruna Asaf Ali Marg, Pocket 1, Sector B, Vasant Kunj, New Delhi, Delhi 110070",01142776222,Pvt,3,0
"Gandhi Nursing Home, Uttam Nagar","C-50-51, Najafgarh Rd, Block E, Om Vihar, Uttam Nagar, Delhi 110059",01125335099,Pvt,1,1
"Goyal Hospital & Urology Centre, Krishna Nagar","E-4/8, Krishna Nagar, near Lajpat Rai, Chandni Chowk, New Delhi, Delhi 110051",7011221183,Pvt,1,1
"HAHC Hospital, Hamdard Nagar","Guru Ravidas Marg, Block D, Hamdard Nagar, New Delhi, Delhi 110062",01129901111,Pvt,2,2
"Holy Family Hospital, Okhla","Okhla Rd, Okhla, New Delhi, Delhi 110025",01126845900,Pvt,8,3
"Indian spinal injury centre,Vasant Kunj","Vasant Kunj Marg, Opp Vasant Valley School, IAA Colony, Sector C, Vasant Kunj, New Delhi, Delhi 110070",01142255225,Pvt,4,0
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR","Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi, Delhi 110076",01126925858,Pvt,8,5
"Irene Hospital, Kalkaji","Block DD, DD-23, Kalkaji, New Delhi, Delhi 110019",9540948480,Pvt,2,2
"Jaipur Golden Hospital, Rohini","2, Naharpur Village Rd, Institutional Area, Sector 3, Rohini, Delhi 110085",01127907000,Pvt,6,3
"Jeevan Anmol Hospital, Mayur Vihar Phase-I","JEEVAN ANMOL HOSPITAL, Mayur Vihar, Delhi 110091",01122750380,Pvt,1,1
